burn_no.,lat,lon,date
179,36.128357,-91.937103,1/7/2020 0:00
180,35.891102,-94.013977,1/7/2020 0:00
181,35.897324,-94.008995,1/7/2020 0:00
182,36.129406,-91.932297,1/7/2020 0:00
183,34.968216,-94.497124,1/7/2020 0:00
184,35.924885,-92.045486,1/7/2020 0:00
185,35.264282,-94.043015,1/7/2020 0:00
186,36.467064,-92.263855,1/7/2020 0:00
187,35.320103,-94.483864,1/7/2020 0:00
188,36.047802,-92.180794,1/7/2020 0:00
189,36.046745,-92.185562,1/7/2020 0:00
190,35.737282,-92.502953,1/7/2020 0:00
191,32.657402,-93.350868,1/7/2020 0:00
192,32.525024,-94.204941,1/7/2020 0:00
193,32.529793,-94.208763,1/7/2020 0:00
194,32.530083,-94.20163,1/7/2020 0:00
195,32.779926,-94.183418,1/7/2020 0:00
196,32.296768,-93.445312,1/7/2020 0:00
197,32.336994,-94.038284,1/7/2020 0:00
198,32.336708,-94.045326,1/7/2020 0:00
199,32.338318,-94.03418,1/7/2020 0:00
200,32.338066,-94.041313,1/7/2020 0:00
201,32.531506,-94.212334,1/7/2020 0:00
202,32.662029,-93.351334,1/7/2020 0:00
203,32.524773,-94.212074,1/7/2020 0:00
204,32.536533,-94.208878,1/7/2020 0:00
205,32.531757,-94.205215,1/7/2020 0:00
206,32.662243,-93.343544,1/7/2020 0:00
207,33.437386,-94.83596,1/7/2020 0:00
208,35.443043,-92.799973,1/7/2020 0:00
209,35.348946,-94.744415,1/7/2020 0:00
210,34.433182,-94.888214,1/7/2020 0:00
211,34.432709,-94.901421,1/7/2020 0:00
212,34.167313,-93.973106,1/7/2020 0:00
213,34.167496,-93.965782,1/7/2020 0:00
214,34.167843,-93.970795,1/7/2020 0:00
215,34.168064,-93.963463,1/7/2020 0:00
216,35.317791,-94.361671,1/7/2020 0:00
217,33.415394,-94.729645,1/7/2020 0:00
218,33.415134,-94.736214,1/7/2020 0:00
219,33.421978,-94.72998,1/7/2020 0:00
220,33.437115,-94.842484,1/7/2020 0:00
221,33.443939,-94.836349,1/7/2020 0:00
222,33.443665,-94.842903,1/7/2020 0:00
223,33.413582,-94.730919,1/7/2020 0:00
224,35.690475,-93.764282,1/7/2020 0:00
225,33.413361,-94.73748,1/7/2020 0:00
226,35.683502,-93.762474,1/7/2020 0:00
227,33.42017,-94.731247,1/7/2020 0:00
228,33.442741,-94.837868,1/7/2020 0:00
229,33.442501,-94.844452,1/7/2020 0:00
230,35.442554,-92.801262,1/7/2020 0:00
231,35.649475,-89.935638,1/8/2020 0:00
232,35.938244,-89.717209,1/8/2020 0:00
233,35.890198,-89.782036,1/8/2020 0:00
234,35.945526,-89.716354,1/8/2020 0:00
235,36.057228,-91.989258,1/8/2020 0:00
236,35.642078,-89.945465,1/8/2020 0:00
237,35.933846,-89.717323,1/8/2020 0:00
238,35.647491,-89.934631,1/8/2020 0:00
239,35.944084,-89.716705,1/8/2020 0:00
240,35.933578,-89.71225,1/8/2020 0:00
241,36.052872,-91.986008,1/8/2020 0:00
242,32.660793,-93.344215,1/8/2020 0:00
243,32.661091,-93.342285,1/8/2020 0:00
244,32.66103,-93.351776,1/8/2020 0:00
245,32.661369,-93.349846,1/8/2020 0:00
246,35.893154,-89.779488,1/8/2020 0:00
247,35.941994,-89.713097,1/8/2020 0:00
248,35.935295,-89.710732,1/8/2020 0:00
249,36.053303,-91.985214,1/8/2020 0:00
250,35.795319,-91.745842,1/8/2020 0:00
251,35.794109,-94.506172,1/8/2020 0:00
252,35.21677,-94.887207,1/8/2020 0:00
253,35.217323,-94.888092,1/8/2020 0:00
254,35.216213,-94.883057,1/8/2020 0:00
255,35.937634,-89.71357,1/8/2020 0:00
256,36.050003,-92.185944,1/8/2020 0:00
257,35.794468,-94.502579,1/8/2020 0:00
258,35.932163,-89.715805,1/8/2020 0:00
259,35.936535,-89.71534,1/8/2020 0:00
260,35.9431,-89.711334,1/8/2020 0:00
261,35.793255,-91.745201,1/8/2020 0:00
262,32.662308,-93.345421,1/8/2020 0:00
263,32.532249,-92.905945,1/8/2020 0:00
264,32.53194,-92.906395,1/8/2020 0:00
265,33.130054,-94.248405,1/8/2020 0:00
266,34.659515,-90.755951,1/8/2020 0:00
267,32.191383,-92.108482,1/8/2020 0:00
268,33.848694,-93.404427,1/8/2020 0:00
269,31.653749,-90.49041,1/8/2020 0:00
270,34.387909,-91.885727,1/8/2020 0:00
271,31.648254,-90.488556,1/8/2020 0:00
272,34.660908,-90.756241,1/8/2020 0:00
273,32.190342,-92.110161,1/8/2020 0:00
274,35.970509,-92.896187,1/8/2020 0:00
275,35.548195,-90.754402,1/8/2020 0:00
276,35.547665,-90.753799,1/8/2020 0:00
277,34.930721,-92.394226,1/8/2020 0:00
278,35.502731,-92.168503,1/8/2020 0:00
279,34.434196,-94.869102,1/8/2020 0:00
280,36.075287,-92.59417,1/8/2020 0:00
281,34.436268,-94.862106,1/8/2020 0:00
282,34.435955,-94.867714,1/8/2020 0:00
283,36.080112,-92.585114,1/8/2020 0:00
284,34.437954,-94.860817,1/8/2020 0:00
285,35.508194,-92.170525,1/8/2020 0:00
286,35.505608,-92.168991,1/8/2020 0:00
287,36.076382,-92.598839,1/8/2020 0:00
288,36.077614,-92.594315,1/8/2020 0:00
289,35.891338,-89.783073,1/8/2020 0:00
290,35.228699,-90.304817,1/8/2020 0:00
291,36.529125,-88.796448,1/8/2020 0:00
292,35.168251,-92.521645,1/8/2020 0:00
293,35.964489,-92.894318,1/8/2020 0:00
294,35.969921,-92.897057,1/8/2020 0:00
295,35.965084,-92.893456,1/8/2020 0:00
296,35.812832,-91.93972,1/8/2020 0:00
297,35.81818,-91.941727,1/8/2020 0:00
298,35.648079,-89.932838,1/8/2020 0:00
299,35.648674,-89.931458,1/8/2020 0:00
300,35.169506,-92.516968,1/8/2020 0:00
301,35.890324,-89.781105,1/8/2020 0:00
302,32.828999,-91.433426,1/8/2020 0:00
303,32.830437,-91.428223,1/8/2020 0:00
304,31.651278,-90.484673,1/8/2020 0:00
305,32.829292,-91.428108,1/8/2020 0:00
306,32.242119,-94.182236,1/8/2020 0:00
307,32.659241,-93.344971,1/8/2020 0:00
308,32.156517,-92.933556,1/8/2020 0:00
309,32.830177,-91.433548,1/8/2020 0:00
310,32.573494,-92.707603,1/8/2020 0:00
311,33.75724,-93.375992,1/8/2020 0:00
312,33.757515,-93.371796,1/8/2020 0:00
313,33.751755,-93.375526,1/8/2020 0:00
314,35.504086,-92.168839,1/8/2020 0:00
315,35.507111,-92.169472,1/8/2020 0:00
316,36.072914,-92.589249,1/8/2020 0:00
317,36.079002,-92.584824,1/8/2020 0:00
318,36.078743,-92.589935,1/8/2020 0:00
319,34.71162,-93.408363,1/8/2020 0:00
320,34.317604,-93.154427,1/8/2020 0:00
321,34.249798,-94.314995,1/8/2020 0:00
322,34.317345,-93.158958,1/8/2020 0:00
323,33.815891,-91.816154,1/8/2020 0:00
324,33.815613,-91.821373,1/8/2020 0:00
325,35.623146,-91.894302,1/8/2020 0:00
326,36.073181,-92.583939,1/8/2020 0:00
327,33.849632,-93.405151,1/8/2020 0:00
328,33.849724,-93.405579,1/8/2020 0:00
329,33.757591,-93.379829,1/8/2020 0:00
330,33.757843,-93.375618,1/8/2020 0:00
331,33.75211,-93.379372,1/8/2020 0:00
332,33.752365,-93.375137,1/8/2020 0:00
333,33.756958,-93.380203,1/8/2020 0:00
334,33.821602,-91.821777,1/8/2020 0:00
335,34.660404,-93.987976,1/8/2020 0:00
336,33.405682,-94.256081,1/8/2020 0:00
337,34.660645,-93.984062,1/8/2020 0:00
338,34.661133,-93.976181,1/8/2020 0:00
339,34.662487,-93.994987,1/8/2020 0:00
340,33.17651,-93.775352,1/8/2020 0:00
341,33.176235,-93.779259,1/8/2020 0:00
342,33.405228,-93.873344,1/8/2020 0:00
343,33.406662,-93.876564,1/8/2020 0:00
344,33.406956,-93.872581,1/8/2020 0:00
345,34.361858,-91.325317,1/8/2020 0:00
346,35.622437,-91.890106,1/8/2020 0:00
347,34.996262,-93.996437,1/8/2020 0:00
348,34.996006,-94.000511,1/8/2020 0:00
349,34.935436,-92.395546,1/8/2020 0:00
350,35.964432,-92.89769,1/8/2020 0:00
351,35.96418,-92.902374,1/8/2020 0:00
352,35.001381,-94.000641,1/8/2020 0:00
353,34.506855,-92.478706,1/8/2020 0:00
354,35.915421,-89.686256,1/8/2020 0:00
355,35.439758,-91.593086,1/8/2020 0:00
356,34.6633,-93.983139,1/8/2020 0:00
357,34.663033,-93.987,1/8/2020 0:00
358,34.662758,-93.991013,1/8/2020 0:00
359,33.385078,-94.752701,1/8/2020 0:00
360,34.660156,-93.991928,1/8/2020 0:00
361,33.425083,-94.825974,1/8/2020 0:00
362,35.922207,-89.686447,1/8/2020 0:00
363,35.622162,-91.895737,1/8/2020 0:00
364,33.424709,-94.827034,1/8/2020 0:00
365,35.916069,-89.689163,1/8/2020 0:00
366,34.843594,-92.26606,1/8/2020 0:00
367,34.842266,-92.29126,1/8/2020 0:00
368,34.849762,-92.261169,1/8/2020 0:00
369,34.84795,-92.259064,1/8/2020 0:00
370,34.847706,-92.264236,1/8/2020 0:00
371,34.853607,-92.264412,1/8/2020 0:00
372,34.843861,-92.260963,1/8/2020 0:00
373,34.836388,-92.290871,1/8/2020 0:00
374,33.930935,-94.20575,1/8/2020 0:00
375,33.796345,-93.463852,1/8/2020 0:00
376,35.442184,-92.786751,1/8/2020 0:00
377,35.916245,-89.68174,1/8/2020 0:00
378,36.80006,-92.309532,1/8/2020 0:00
379,36.906532,-90.876816,1/8/2020 0:00
380,36.491016,-94.881081,1/8/2020 0:00
381,36.750423,-92.753677,1/8/2020 0:00
382,36.490025,-94.879883,1/8/2020 0:00
383,35.045319,-90.16684,1/9/2020 0:00
384,35.112,-89.893738,1/9/2020 0:00
385,34.182175,-90.563835,1/9/2020 0:00
386,32.385384,-90.907555,1/9/2020 0:00
387,32.332436,-90.627632,1/9/2020 0:00
388,35.64851,-89.931168,1/10/2020 0:00
389,35.940243,-89.714424,1/10/2020 0:00
390,35.943718,-89.713455,1/10/2020 0:00
391,35.935886,-89.710617,1/10/2020 0:00
392,35.873642,-89.023994,1/10/2020 0:00
393,35.936775,-89.715385,1/10/2020 0:00
394,35.891506,-89.779785,1/12/2020 0:00
395,35.934639,-89.714096,1/12/2020 0:00
396,35.892536,-89.778343,1/12/2020 0:00
397,35.893005,-89.782806,1/12/2020 0:00
398,35.938717,-89.713425,1/12/2020 0:00
399,34.954998,-94.107826,1/14/2020 0:00
400,35.0429,-90.163254,1/14/2020 0:00
401,35.650097,-89.933563,1/15/2020 0:00
402,34.958755,-94.107544,1/15/2020 0:00
403,34.95546,-94.108337,1/15/2020 0:00
404,35.649784,-89.930977,1/18/2020 0:00
405,35.403667,-90.779625,1/18/2020 0:00
406,35.933727,-89.71476,1/18/2020 0:00
407,35.794827,-91.74559,1/19/2020 0:00
408,35.938126,-89.71434,1/19/2020 0:00
409,36.688492,-91.99485,1/19/2020 0:00
410,35.889606,-89.779938,1/19/2020 0:00
411,35.934162,-89.713913,1/19/2020 0:00
412,36.692898,-91.993164,1/19/2020 0:00
413,35.945248,-89.713791,1/19/2020 0:00
414,35.642223,-89.945023,1/19/2020 0:00
415,36.690163,-91.999321,1/19/2020 0:00
416,35.645271,-89.93325,1/19/2020 0:00
417,35.79641,-91.74485,1/19/2020 0:00
418,33.026073,-93.456993,1/19/2020 0:00
419,35.932892,-89.712563,1/19/2020 0:00
420,35.648083,-89.93235,1/19/2020 0:00
421,35.892643,-89.780586,1/19/2020 0:00
422,32.387821,-90.652344,1/19/2020 0:00
423,35.938046,-89.714539,1/19/2020 0:00
424,33.616192,-93.550507,1/19/2020 0:00
425,32.99258,-94.763184,1/19/2020 0:00
426,32.791008,-94.488976,1/19/2020 0:00
427,33.800968,-92.723656,1/20/2020 0:00
428,35.933788,-89.714012,1/20/2020 0:00
429,35.888924,-89.781105,1/20/2020 0:00
430,35.937756,-89.712746,1/20/2020 0:00
431,35.892883,-89.779831,1/20/2020 0:00
432,34.45916,-92.062103,1/20/2020 0:00
433,35.649727,-89.931526,1/20/2020 0:00
434,35.046463,-90.164223,1/20/2020 0:00
435,35.639683,-89.943748,1/20/2020 0:00
436,35.946617,-89.714485,1/20/2020 0:00
437,35.945698,-89.71019,1/20/2020 0:00
438,35.793041,-91.744415,1/20/2020 0:00
439,35.050415,-90.162994,1/20/2020 0:00
440,35.645779,-89.932762,1/20/2020 0:00
441,32.435421,-94.685387,1/20/2020 0:00
442,33.50909,-94.572243,1/20/2020 0:00
443,33.259079,-94.063309,1/20/2020 0:00
444,34.187283,-93.949181,1/20/2020 0:00
445,33.77335,-94.127243,1/20/2020 0:00
446,34.414791,-94.881386,1/20/2020 0:00
447,34.415409,-94.87645,1/20/2020 0:00
448,34.416031,-94.871475,1/20/2020 0:00
